,Lat,Lon,Alt
2051,32.39,-94.6,80.0
2052,32.39,-94.1,100.0
2053,32.39,-93.6,45.0
2054,32.39,-93.1,75.0
2055,32.39,-92.6,85.0
2056,32.39,-92.1,20.0
2057,32.39,-91.6,27.0
2058,32.39,-91.1,24.0
2059,32.39,-90.6,54.0
2060,32.39,-90.1,81.0
2061,32.39,-89.6,139.0
2062,32.39,-89.1,144.0
2063,32.39,-88.6,117.0
2064,32.39,-88.1,32.0
2065,32.39,-87.6,63.0
2066,32.39,-87.1,33.0
2067,32.39,-86.6,0.0
2068,32.39,-86.1,58.0
2069,32.39,-85.6,88.0
2070,32.39,-85.1,79.0
2071,32.39,-84.6,0.0
2072,32.39,-84.1,120.0
2073,32.39,-83.6,116.0
2074,32.39,-83.1,111.0
2075,32.39,-82.6,0.0
2076,32.39,-82.1,51.0
2077,32.39,-81.6,40.0
2078,32.39,-81.1,7.0
2079,32.39,-80.6,2.0
2080,32.39,-80.1,0.0
2081,32.39,-79.6,0.0
2082,32.39,-79.1,0.0
2083,32.39,-78.6,0.0
2084,32.39,-78.1,0.0
2085,32.39,-77.6,0.0
2086,32.39,-77.1,0.0
2087,32.39,-76.6,0.0
2088,32.39,-76.1,0.0
2089,32.39,-75.6,0.0
2090,32.39,-75.1,0.0
2091,32.39,-74.6,0.0
2092,32.39,-74.1,0.0
2093,32.39,-73.6,0.0
2094,32.39,-73.1,0.0
2095,32.39,-72.6,0.0
2096,32.39,-72.1,0.0
2097,32.39,-71.6,0.0
2098,32.39,-71.1,0.0
2099,32.39,-70.6,0.0
2100,32.39,-70.1,0.0
2101,32.39,-69.6,0.0
2102,32.39,-69.1,0.0
2103,32.39,-68.6,0.0
2104,32.39,-68.1,0.0
2105,32.39,-67.6,0.0
2106,32.39,-67.1,0.0
2107,32.39,-66.6,0.0
2108,31.89,-128.1,0.0
2109,31.89,-127.6,0.0
2110,31.89,-127.1,0.0
2111,31.89,-126.6,0.0
2112,31.89,-126.1,0.0
2113,31.89,-125.6,0.0
2114,31.89,-125.1,0.0
2115,31.89,-124.6,0.0
2116,31.89,-124.1,0.0
2117,31.89,-123.6,0.0
2118,31.89,-123.1,0.0
2119,31.89,-122.6,0.0
2120,31.89,-122.1,0.0
2121,31.89,-121.6,0.0
2122,31.89,-121.1,0.0
2123,31.89,-120.6,0.0
2124,31.89,-120.1,0.0
2125,31.89,-119.6,0.0
2126,31.89,-119.1,0.0
2127,31.89,-118.6,0.0
2128,31.89,-118.1,0.0
2129,31.89,-117.6,0.0
2130,31.89,-117.1,0.0
2131,31.89,-116.6,31.0
2132,31.89,-116.1,1068.0
2133,31.89,-115.6,322.0
2134,31.89,-115.1,2.0
